,0
AGE,0.7181393995195415
FP69,0.009434964247460364
FP623,0.009011919982600302
FP237,0.008221921159875202
FP102,0.008194333630967898
logP,0.007293407285355495
FP973,0.006126269948063235
FP1019,0.005517082089573597
FP214,0.005212765473846874
HBA,0.005110586121003819
TPSA,0.004896119868409696
FP428,0.004411197020312676
FP294,0.004360225358500171
mol_weight,0.004310100109947332
FP752,0.0035852989226123387
FP488,0.0035299457293465134
FP462,0.003186387366504224
FP718,0.0031196033326414646
FP1017,0.003081153086634309
FP46,0.0030198291166892905
QTR,0.003003687566681144
FP242,0.0029989309971121657
FP963,0.0029762307875751443
FP295,0.0027899034173834015
FP624,0.0027877704315737214
FP274,0.002711489855094149
FP684,0.0026463355366822994
FP427,0.0026457921800146513
FP188,0.002531108197257402
FP408,0.002368465502104966
